iter	Logloss
0	0.6120679463
1	0.555584223
2	0.5023001651
3	0.4570286592
4	0.4123817102
5	0.3775308964
6	0.3475080174
7	0.3169906792
8	0.2908040932
9	0.2694258767
10	0.2509269054
11	0.2344588173
12	0.2199672249
13	0.2083054838
14	0.1995985221
15	0.1910106684
16	0.1836622837
17	0.1753175891
18	0.1699171059
19	0.1635215944
20	0.1582125758
21	0.1541159744
22	0.1507346422
23	0.1470452003
24	0.1441024912
25	0.1406306669
26	0.1382765032
27	0.1360774979
28	0.1334476687
29	0.13101824
30	0.1293097385
31	0.1276986903
32	0.1259919042
33	0.124455717
34	0.1232185328
35	0.1222454531
36	0.1210018034
37	0.1201116703
38	0.1190084412
39	0.1178702789
40	0.1168481387
41	0.116159493
42	0.1154705837
43	0.114768499
44	0.1143843207
45	0.1139050935
46	0.1133649989
47	0.1127900256
48	0.1124188215
49	0.1118088656
50	0.1114284709
51	0.110899763
52	0.1105878549
53	0.1102530812
54	0.1099978553
55	0.1094737679
56	0.1091591364
57	0.1088156129
58	0.1085171085
59	0.1081420519
60	0.1078041624
61	0.1075015318
62	0.1072160154
63	0.1068641243
64	0.1066443772
65	0.1065192953
66	0.1062006786
67	0.1059972169
68	0.105795001
69	0.1056953003
70	0.1055601288
71	0.1053596291
72	0.1052286164
73	0.1050413562
74	0.1049057505
75	0.1047887737
76	0.1046512415
77	0.1043999376
78	0.104236602
79	0.1040519597
80	0.1039402225
81	0.1038391165
82	0.1037048788
83	0.1035761096
84	0.1033975555
85	0.103308194
86	0.1031741341
87	0.1030682255
88	0.1029434203
89	0.1027807984
90	0.1026822566
91	0.1025528171
92	0.1024241655
93	0.1022662463
94	0.1021284085
95	0.1020360078
96	0.1020005962
97	0.1019541473
98	0.101920073
99	0.1017908054
100	0.1017168295
101	0.1016328156
102	0.1015504681
103	0.1014661536
104	0.1014108536
105	0.101323082
106	0.101240511
107	0.1010687655
108	0.100976459
109	0.1009043259
110	0.1007943606
111	0.1006874237
112	0.1005434929
113	0.100474572
114	0.1003621535
115	0.1002860256
116	0.1001671336
117	0.1000623813
118	0.1000354373
119	0.09991125261
120	0.09981670585
121	0.09970599688
122	0.09964119625
123	0.0995888436
124	0.09950670602
125	0.09947362817
126	0.09938982819
127	0.09932164334
128	0.09928915266
129	0.09921346352
130	0.09918485568
131	0.09905993481
132	0.09893976402
133	0.09882296742
134	0.09878682116
135	0.098632972
136	0.09859450757
137	0.0985630945
138	0.09844064987
139	0.09830651715
140	0.0982298117
141	0.09816698024
142	0.0980913499
143	0.0980359281
144	0.09797672815
145	0.09792928878
146	0.09788657257
147	0.09782957573
148	0.09778788043
149	0.09773327653
150	0.09767144854
151	0.09758755486
152	0.09748874229
153	0.09744155382
154	0.09738967813
155	0.09733976748
156	0.09724190565
157	0.09719187272
158	0.09713324913
159	0.09705831741
160	0.09700019059
161	0.09694267033
162	0.09686013287
163	0.09682159849
164	0.0967218147
165	0.09665511385
166	0.09659694612
167	0.09655574524
168	0.09648247685
169	0.09642182289
170	0.09638401672
171	0.09629949485
172	0.09621201419
173	0.09612113767
174	0.09604779727
175	0.09598849692
176	0.09594914282
177	0.09588936818
178	0.09583135239
179	0.09575693014
180	0.09571585639
181	0.09561288555
182	0.09553246104
183	0.09546336818
184	0.09536391748
185	0.09529699787
186	0.09522744003
187	0.09514228119
188	0.09508421757
189	0.09501344889
190	0.09498729883
191	0.09488905339
192	0.09482557182
193	0.09475399211
194	0.09467693542
195	0.09461527931
196	0.09454135892
197	0.09447353756
198	0.09443169922
199	0.094314956
200	0.09423365849
201	0.09415968148
202	0.09412740509
203	0.09405607241
204	0.09399743615
205	0.09388747893
206	0.0938376297
207	0.09378613178
208	0.09373269749
209	0.09366251669
210	0.09358540845
211	0.09353742194
212	0.09347202285
213	0.09338074056
214	0.09330262542
215	0.09321768422
216	0.09313317446
217	0.09306698641
218	0.09301902219
219	0.09299265724
220	0.09287189621
221	0.09277979122
222	0.09270498967
223	0.09262662488
224	0.09253999431
225	0.0924917998
226	0.09246815644
227	0.09242806077
228	0.0923533265
229	0.09231357905
230	0.09220134957
231	0.09211245793
232	0.09206973933
233	0.09199315325
234	0.09195926131
235	0.09189170717
236	0.09182768415
237	0.09176669838
238	0.0917469798
239	0.09167284492
240	0.09161608101
241	0.091569329
242	0.0914786257
243	0.09142074455
244	0.09135867872
245	0.0912954278
246	0.09125261378
247	0.09118464593
248	0.09113951874
249	0.09108735035
250	0.09101968309
251	0.09094997246
252	0.09087529719
253	0.09083275457
254	0.09080000066
255	0.09074956142
256	0.09066178924
257	0.09060081263
258	0.09058461733
259	0.09054866089
260	0.09051101998
261	0.09041474641
262	0.09030500298
263	0.09025687051
264	0.09017731819
265	0.09012830984
266	0.09011589828
267	0.09007725762
268	0.0899625854
269	0.08988980416
270	0.08982946549
271	0.08973656001
272	0.08967193723
273	0.08959818498
274	0.08954938309
275	0.08948321849
276	0.0894047389
277	0.08934406443
278	0.08926161688
279	0.08921551706
280	0.08917052722
281	0.08909539946
282	0.08903111679
283	0.0889610591
284	0.08890712013
285	0.088850838
286	0.08879226263
287	0.08869581061
288	0.08864312757
289	0.08860532815
290	0.08856993272
291	0.0885214694
292	0.08844960105
293	0.08839604567
294	0.08833215719
295	0.08830668668
296	0.08828047958
297	0.08821141832
298	0.08811474166
299	0.08806621619
300	0.08799567126
301	0.08793176863
302	0.08791918693
303	0.0878468755
304	0.08781042575
305	0.08776005894
306	0.08771424486
307	0.08766247689
308	0.08760587192
309	0.08754630378
310	0.08749893354
311	0.08742567291
312	0.08737493973
313	0.0873138213
314	0.08726379869
315	0.08722428329
316	0.08718185184
317	0.08712770757
318	0.08705684352
319	0.08699123635
320	0.08698317172
321	0.08690896064
322	0.08687851715
323	0.08682053545
324	0.08672971382
325	0.08671592911
326	0.08667333805
327	0.08660774236
328	0.08655924291
329	0.08654623434
330	0.08648708241
331	0.08642891486
332	0.08638639318
333	0.08634315522
334	0.08630539209
335	0.08623116257
336	0.08619328323
337	0.08615953843
338	0.08609033184
339	0.08605934173
340	0.08600265491
341	0.08592610055
342	0.08585941443
343	0.08581972795
344	0.08577264613
345	0.08572338522
346	0.08566181404
347	0.08558831823
348	0.08552039144
349	0.08551598779
350	0.08546681628
351	0.0854080566
352	0.08535584705
353	0.08530140384
354	0.08521717904
355	0.08514985509
356	0.08510943083
357	0.08504758876
358	0.08500939464
359	0.08497175247
360	0.08492871647
361	0.08489210672
362	0.084880958
363	0.08480369101
364	0.08474440506
365	0.08467890769
366	0.084612431
367	0.08455058234
368	0.0845135353
369	0.08444774768
370	0.08440691033
371	0.08435654332
372	0.08430260622
373	0.08424625971
374	0.08419437106
375	0.08414515212
376	0.08413472904
377	0.08408351358
378	0.08405980276
379	0.08401674445
380	0.08395603049
381	0.08389280803
382	0.08380521638
383	0.08376008562
384	0.08373728091
385	0.0836661467
386	0.08362389348
387	0.08356932887
388	0.083516187
389	0.08350634882
390	0.08344661331
391	0.08339343168
392	0.0833452444
393	0.08332227466
394	0.08323889857
395	0.08321677607
396	0.0831331168
397	0.08307303382
398	0.08301686903
399	0.08297498453
400	0.08291515493
401	0.08285455275
402	0.08280873073
403	0.08277117164
404	0.08273881721
405	0.08269073824
406	0.08261716425
407	0.08256605831
408	0.08249685556
409	0.08245865558
410	0.08241004229
411	0.08234567571
412	0.08231351894
413	0.08222809244
414	0.08218799138
415	0.08212840664
416	0.0820489474
417	0.08200111065
418	0.08194550797
419	0.08189859412
420	0.08182349183
421	0.08177547989
422	0.08174112574
423	0.0817096147
424	0.08166907889
425	0.08158822641
426	0.08151959389
427	0.08145309596
428	0.08139865812
429	0.08134658866
430	0.08129611679
431	0.08124453293
432	0.08118998111
433	0.08111121702
434	0.08106744163
435	0.08103501366
436	0.08096679552
437	0.08091537657
